country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,16419,15160,295,1047236,93,25,2021-04-08T15:00:00
AT,Vorarlberg,25297,24653,283,1482416,33,7,2021-04-08T15:00:00
AT,Kärnten,35395,32780,755,1072569,87,15,2021-04-08T15:00:00
AT,Salzburg,45586,42061,545,1552358,112,22,2021-04-08T15:00:00
AT,Tirol,55459,52858,603,2665899,156,30,2021-04-08T15:00:00
AT,Steiermark,68403,62744,1889,3125254,362,63,2021-04-08T15:00:00
AT,Niederösterreich,96230,88077,1604,5879319,500,123,2021-04-08T15:00:00
AT,Oberösterreich,102802,96804,1632,3723290,316,70,2021-04-08T15:00:00
AT,Wien,121889,110545,1980,5320157,757,223,2021-04-08T15:00:00
AT,,567480,525682,9586,25868498,2416,578,2021-04-08T15:00:00
