country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,11909,11386,234,566648,46,9,2021-02-23T08:00:00
AT,Vorarlberg,22870,22896,269,735753,35,11,2021-02-23T08:00:00
AT,Kärnten,28402,26516,669,587921,82,9,2021-02-23T08:00:00
AT,Salzburg,37044,34737,482,740101,73,5,2021-02-23T08:00:00
AT,Tirol,46777,45704,567,1332740,81,22,2021-02-23T08:00:00
AT,Steiermark,54271,49655,1718,1564782,197,43,2021-02-23T08:00:00
AT,Niederösterreich,70026,65793,1301,3078655,321,61,2021-02-23T08:00:00
AT,Oberösterreich,84683,81092,1508,1929664,119,14,2021-02-23T08:00:00
AT,Wien,88498,84032,1649,2884696,355,81,2021-02-23T08:00:00
AT,,444480,421811,8397,13420960,1309,255,2021-02-23T08:00:00
