country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,10247,9900,201,347780,50,8,2021-01-20T09:30:00
AT,Vorarlberg,20720,20840,242,480022,55,9,2021-01-20T09:30:00
AT,Kärnten,23453,23001,602,426472,125,12,2021-01-20T09:30:00
AT,Salzburg,32339,29833,392,446595,127,20,2021-01-20T09:30:00
AT,Tirol,42838,42006,523,878194,153,29,2021-01-20T09:30:00
AT,Steiermark,46504,43078,1519,861388,291,52,2021-01-20T09:30:00
AT,Niederösterreich,60319,56971,1046,2079628,427,54,2021-01-20T09:30:00
AT,Oberösterreich,76777,74578,1381,1151162,311,43,2021-01-20T09:30:00
AT,Wien,78681,74617,1331,1817641,467,96,2021-01-20T09:30:00
AT,,391878,374824,7237,8488882,2006,323,2021-01-20T09:30:00
