country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,19890,19096,348,2959636,17,4,2021-09-20T09:30:00+02:00
AT,Vorarlberg,34039,32856,316,4697416,18,6,2021-09-20T09:30:00+02:00
AT,Kärnten,43311,41546,834,4015445,42,9,2021-09-20T09:30:00+02:00
AT,Salzburg,54790,52606,596,5779669,52,8,2021-09-20T09:30:00+02:00
AT,Tirol,69179,67504,648,6034421,53,9,2021-09-20T09:30:00+02:00
AT,Steiermark,87340,82941,2118,11787037,76,21,2021-09-20T09:30:00+02:00
AT,Niederösterreich,122014,116425,1862,15803736,114,37,2021-09-20T09:30:00+02:00
AT,Oberösterreich,131854,126474,1783,13757744,178,37,2021-09-20T09:30:00+02:00
AT,Wien,163017,152243,2391,18687051,289,88,2021-09-20T09:30:00+02:00
AT,Österreich,725434,691691,10896,83522155,839,219,2021-09-20T09:30:00+02:00
