country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,138937,135324,578,5516401,59,4,2022-08-27T09:30:00+02:00
AT,Vorarlberg,227679,226457,574,7162391,17,3,2022-08-27T09:30:00+02:00
AT,Kärnten,277379,272454,1660,6735633,94,8,2022-08-27T09:30:00+02:00
AT,Salzburg,328856,325359,1179,10813884,73,4,2022-08-27T09:30:00+02:00
AT,Tirol,395847,391746,957,9741999,67,2,2022-08-27T09:30:00+02:00
AT,Steiermark,614798,605181,3449,21575651,108,6,2022-08-27T09:30:00+02:00
AT,Oberösterreich,854112,844005,2923,24956520,108,10,2022-08-27T09:30:00+02:00
AT,Niederösterreich,945856,920037,3878,40184297,199,20,2022-08-27T09:30:00+02:00
AT,Wien,1108257,1081737,4195,68557784,354,19,2022-08-27T09:30:00+02:00
AT,Österreich,4891721,4802300,19393,195244560,1079,76,2022-08-27T09:30:00+02:00
