country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,16766,15796,303,1114375,85,27,2021-04-14T09:30:00
AT,Vorarlberg,25785,25010,285,1615633,35,11,2021-04-14T09:30:00
AT,Kärnten,36276,33881,765,1133191,87,14,2021-04-14T09:30:00
AT,Salzburg,46431,43221,548,1661810,110,27,2021-04-14T09:30:00
AT,Tirol,56602,54321,608,2915780,131,31,2021-04-14T09:30:00
AT,Steiermark,70051,64638,1923,3323246,337,56,2021-04-14T09:30:00
AT,Niederösterreich,98869,92346,1651,6293966,460,127,2021-04-14T09:30:00
AT,Oberösterreich,105093,99561,1655,3956051,297,70,2021-04-14T09:30:00
AT,Wien,125200,116215,2041,5689086,758,223,2021-04-14T09:30:00
AT,,581073,544989,9779,27703138,2300,586,2021-04-14T09:30:00
