country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,8489,7776,152,107108,72,12,2020-12-16T09:30:00
AT,Vorarlberg,17614,16143,198,198544,119,17,2020-12-16T09:30:00
AT,Kärnten,18823,16567,405,162900,327,29,2020-12-16T09:30:00
AT,Salzburg,25232,21822,274,201590,193,25,2020-12-16T09:30:00
AT,Tirol,37703,35439,427,435890,267,54,2020-12-16T09:30:00
AT,Steiermark,38288,28765,849,364050,599,88,2020-12-16T09:30:00
AT,Niederösterreich,48360,43092,704,617321,479,82,2020-12-16T09:30:00
AT,Oberösterreich,66562,61107,981,435420,721,114,2020-12-16T09:30:00
AT,Wien,67391,60331,774,952033,633,127,2020-12-16T09:30:00
AT,,328462,291042,4764,3474856,3410,548,2020-12-16T09:30:00
