country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,12855,12010,242,692887,54,14,2021-03-06T15:00:00
AT,Vorarlberg,23398,23375,277,896689,26,4,2021-03-06T15:00:00
AT,Kärnten,30192,27926,697,711306,96,15,2021-03-06T15:00:00
AT,Salzburg,39013,35931,501,931315,81,13,2021-03-06T15:00:00
AT,Tirol,48328,46855,583,1604167,87,23,2021-03-06T15:00:00
AT,Steiermark,57643,52788,1775,1966099,212,36,2021-03-06T15:00:00
AT,Niederösterreich,76051,70009,1377,3693241,368,87,2021-03-06T15:00:00
AT,Oberösterreich,88425,83875,1522,2407310,135,23,2021-03-06T15:00:00
AT,Wien,94824,88540,1720,3471274,392,107,2021-03-06T15:00:00
AT,,470729,441309,8694,16374288,1451,322,2021-03-06T15:00:00
