country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,19102,18507,345,2797907,11,1,2021-09-01T09:30:00+02:00
AT,Vorarlberg,32670,31647,311,4419510,16,5,2021-09-01T09:30:00+02:00
AT,Kärnten,41872,40599,824,3557341,28,8,2021-09-01T09:30:00+02:00
AT,Salzburg,52288,50583,592,5299569,36,5,2021-09-01T09:30:00+02:00
AT,Tirol,67185,65629,638,5868409,32,5,2021-09-01T09:30:00+02:00
AT,Steiermark,83766,80119,2103,10867138,69,17,2021-09-01T09:30:00+02:00
AT,Niederösterreich,116463,111823,1837,14818665,102,28,2021-09-01T09:30:00+02:00
AT,Oberösterreich,124325,119970,1765,12490663,96,26,2021-09-01T09:30:00+02:00
AT,Wien,152482,144584,2360,16740110,155,47,2021-09-01T09:30:00+02:00
AT,Österreich,690153,663461,10775,76859312,545,142,2021-09-01T09:30:00+02:00
