country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,16406,15160,295,1047236,93,25,2021-04-08T09:30:00
AT,Vorarlberg,25237,24653,283,1482416,33,7,2021-04-08T09:30:00
AT,Kärnten,35183,32780,755,1072569,87,15,2021-04-08T09:30:00
AT,Salzburg,45595,42061,545,1552358,112,22,2021-04-08T09:30:00
AT,Tirol,55427,52858,603,2665899,156,30,2021-04-08T09:30:00
AT,Steiermark,68253,62744,1889,3125254,362,63,2021-04-08T09:30:00
AT,Niederösterreich,95945,88077,1604,5879319,500,123,2021-04-08T09:30:00
AT,Oberösterreich,102476,96804,1632,3723290,316,70,2021-04-08T09:30:00
AT,Wien,121504,110545,1980,5320157,757,223,2021-04-08T09:30:00
AT,,566026,525682,9586,25868498,2416,578,2021-04-08T09:30:00
