country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,13120,12122,243,705722,66,12,2021-03-08T15:00:00
AT,Vorarlberg,23455,23446,278,911122,28,4,2021-03-08T15:00:00
AT,Kärnten,30383,28266,700,713785,97,17,2021-03-08T15:00:00
AT,Salzburg,39263,36210,502,947009,90,14,2021-03-08T15:00:00
AT,Tirol,48526,47045,583,1633325,85,21,2021-03-08T15:00:00
AT,Steiermark,58388,53325,1778,1996501,221,36,2021-03-08T15:00:00
AT,Niederösterreich,76898,70940,1392,3765805,365,85,2021-03-08T15:00:00
AT,Oberösterreich,88873,84530,1527,2452634,148,24,2021-03-08T15:00:00
AT,Wien,96049,89148,1729,3529309,422,118,2021-03-08T15:00:00
AT,,474955,445032,8732,16655212,1522,331,2021-03-08T15:00:00
