country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,17191,16552,321,1231480,62,25,2021-04-23T09:30:00
AT,Vorarlberg,26785,25600,288,1825998,40,10,2021-04-23T09:30:00
AT,Kärnten,37552,35291,784,1205413,67,17,2021-04-23T09:30:00
AT,Salzburg,47808,44598,558,1546930,84,19,2021-04-23T09:30:00
AT,Tirol,58699,56002,614,3156998,108,34,2021-04-23T09:30:00
AT,Steiermark,72866,66828,1965,3631516,259,45,2021-04-23T09:30:00
AT,Niederösterreich,101876,97003,1696,6935793,389,114,2021-04-23T09:30:00
AT,Oberösterreich,108934,103304,1691,4327249,239,62,2021-04-23T09:30:00
AT,Wien,129625,123035,2138,6325084,618,191,2021-04-23T09:30:00
AT,,601336,568213,10055,30186461,1866,517,2021-04-23T09:30:00
