country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,134357,130257,572,5435536,79,12,2022-07-30T09:30:00+02:00
AT,Vorarlberg,224014,222284,559,7140525,49,4,2022-07-30T09:30:00+02:00
AT,Kärnten,267836,261805,1648,6688509,113,3,2022-07-30T09:30:00+02:00
AT,Salzburg,321429,316725,1162,10751721,70,2,2022-07-30T09:30:00+02:00
AT,Tirol,387417,381509,950,9689884,118,5,2022-07-30T09:30:00+02:00
AT,Steiermark,598225,586153,3426,21384960,186,12,2022-07-30T09:30:00+02:00
AT,Oberösterreich,834563,820744,2889,24776830,228,6,2022-07-30T09:30:00+02:00
AT,Niederösterreich,912191,879314,3789,40028986,341,13,2022-07-30T09:30:00+02:00
AT,Wien,1058746,1010478,4100,67497217,437,34,2022-07-30T09:30:00+02:00
AT,Österreich,4738778,4609269,19095,193394168,1621,91,2022-07-30T09:30:00+02:00
