country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,8780,8217,160,110218,63,9,2020-12-22T09:30:00
AT,Vorarlberg,18207,17420,200,210559,86,16,2020-12-22T09:30:00
AT,Kärnten,19755,17795,460,167788,221,15,2020-12-22T09:30:00
AT,Salzburg,26183,23120,296,207888,163,30,2020-12-22T09:30:00
AT,Tirol,38515,36860,450,445765,222,51,2020-12-22T09:30:00
AT,Steiermark,39790,32707,1142,377261,518,84,2020-12-22T09:30:00
AT,Niederösterreich,50258,45878,767,654618,431,67,2020-12-22T09:30:00
AT,Oberösterreich,68547,64160,1074,446485,649,95,2020-12-22T09:30:00
AT,Wien,69491,63438,991,1023114,569,120,2020-12-22T09:30:00
AT,,339526,309595,5540,3643696,2922,487,2020-12-22T09:30:00
