country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,20290,19607,350,3058457,17,2,2021-10-03T09:30:00+02:00
AT,Vorarlberg,34721,33718,320,4874252,14,5,2021-10-03T09:30:00+02:00
AT,Kärnten,44617,42660,839,4305917,49,8,2021-10-03T09:30:00+02:00
AT,Salzburg,56287,54318,603,6134666,37,7,2021-10-03T09:30:00+02:00
AT,Tirol,70563,68839,660,6158145,57,18,2021-10-03T09:30:00+02:00
AT,Steiermark,89979,85348,2129,12399955,99,21,2021-10-03T09:30:00+02:00
AT,Niederösterreich,125740,120931,1882,16400180,122,33,2021-10-03T09:30:00+02:00
AT,Oberösterreich,137356,131707,1806,14517030,154,36,2021-10-03T09:30:00+02:00
AT,Wien,169272,159963,2437,20261186,271,88,2021-10-03T09:30:00+02:00
AT,Österreich,748825,717091,11026,88109788,820,218,2021-10-03T09:30:00+02:00
