country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,17647,17157,328,1381715,40,17,2021-05-05T15:00:00
AT,Vorarlberg,28352,26671,296,2131720,56,8,2021-05-05T15:00:00
AT,Kärnten,38963,37036,798,1223220,54,8,2021-05-05T15:00:00
AT,Salzburg,49235,46309,570,1725579,77,19,2021-05-05T15:00:00
AT,Tirol,60799,58584,625,3444450,98,26,2021-05-05T15:00:00
AT,Steiermark,76449,70375,2019,3943277,268,49,2021-05-05T15:00:00
AT,Niederösterreich,104905,101480,1736,7562753,290,86,2021-05-05T15:00:00
AT,Oberösterreich,113013,108283,1713,4652977,215,61,2021-05-05T15:00:00
AT,Wien,133577,129982,2226,7175992,462,173,2021-05-05T15:00:00
AT,,622940,595877,10311,33241683,1560,447,2021-05-05T15:00:00
