country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,113597,109536,543,5121074,109,10,2022-04-26T09:30:00+02:00
AT,Vorarlberg,199836,197698,539,7016261,36,2,2022-04-26T09:30:00+02:00
AT,Kärnten,241041,236155,1605,6532664,71,2,2022-04-26T09:30:00+02:00
AT,Salzburg,287751,283571,1117,10522737,61,3,2022-04-26T09:30:00+02:00
AT,Tirol,350218,346124,930,9464662,86,4,2022-04-26T09:30:00+02:00
AT,Steiermark,533961,524923,3349,20627442,181,10,2022-04-26T09:30:00+02:00
AT,Oberösterreich,747806,734302,2809,24055624,121,7,2022-04-26T09:30:00+02:00
AT,Niederösterreich,777467,746750,3249,37470334,337,21,2022-04-26T09:30:00+02:00
AT,Wien,862881,828946,3935,61368745,487,52,2022-04-26T09:30:00+02:00
AT,Österreich,4114558,4008005,18076,182179543,1489,111,2022-04-26T09:30:00+02:00
