country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,20683,19935,351,3105084,15,1,2021-10-13T09:30:00+02:00
AT,Vorarlberg,35093,34310,323,4995756,19,2,2021-10-13T09:30:00+02:00
AT,Kärnten,45622,43709,845,4444567,66,17,2021-10-13T09:30:00+02:00
AT,Salzburg,57788,55544,611,6373460,41,9,2021-10-13T09:30:00+02:00
AT,Tirol,71566,70009,667,6242087,60,16,2021-10-13T09:30:00+02:00
AT,Steiermark,92645,87601,2146,12860683,117,21,2021-10-13T09:30:00+02:00
AT,Niederösterreich,128756,123801,1906,16814733,139,33,2021-10-13T09:30:00+02:00
AT,Oberösterreich,141719,135986,1828,15059006,150,28,2021-10-13T09:30:00+02:00
AT,Wien,172670,164670,2458,21399453,258,86,2021-10-13T09:30:00+02:00
AT,Österreich,766542,735565,11135,91294829,865,213,2021-10-13T09:30:00+02:00
