country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18441,18069,343,2280028,4,1,2021-07-10T09:30:00+02:00
AT,Vorarlberg,30807,30463,308,3584352,2,2,2021-07-10T09:30:00+02:00
AT,Kärnten,40150,39296,821,2027758,12,2,2021-07-10T09:30:00+02:00
AT,Salzburg,49176,48555,586,3530403,3,0,2021-07-10T09:30:00+02:00
AT,Tirol,63915,63202,635,5203048,5,2,2021-07-10T09:30:00+02:00
AT,Steiermark,79585,77411,2091,7898719,2,1,2021-07-10T09:30:00+02:00
AT,Niederösterreich,110976,108305,1822,11774404,15,9,2021-07-10T09:30:00+02:00
AT,Oberösterreich,117077,115289,1757,9053410,7,4,2021-07-10T09:30:00+02:00
AT,Wien,141326,138224,2360,13379811,55,22,2021-07-10T09:30:00+02:00
AT,Österreich,651453,638814,10723,58731933,105,43,2021-07-10T09:30:00+02:00
