country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,7790,6462,114,98821,97,19,2020-12-04T15:00:00
AT,Vorarlberg,16071,14205,146,180246,146,29,2020-12-04T15:00:00
AT,Kärnten,16116,12715,274,152813,393,32,2020-12-04T15:00:00
AT,Salzburg,22581,17427,197,187810,214,24,2020-12-04T15:00:00
AT,Steiermark,33591,21098,614,336536,678,104,2020-12-04T15:00:00
AT,Tirol,34321,30902,363,413610,371,76,2020-12-04T15:00:00
AT,Niederösterreich,43105,35334,564,555053,545,95,2020-12-04T15:00:00
AT,Oberösterreich,60393,53042,729,421586,878,142,2020-12-04T15:00:00
AT,Wien,62082,52590,650,862865,658,121,2020-12-04T15:00:00
AT,,296050,243775,3651,3209340,3980,642,2020-12-04T15:00:00
