country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,17480,16886,323,1300878,61,21,2021-04-30T08:00:00
AT,Vorarlberg,27760,26107,292,1976810,36,9,2021-04-30T08:00:00
AT,Kärnten,38419,36233,792,1164016,60,13,2021-04-30T08:00:00
AT,Salzburg,48760,45419,564,1628525,89,19,2021-04-30T08:00:00
AT,Tirol,60000,57291,621,3361451,103,32,2021-04-30T08:00:00
AT,Steiermark,75094,68525,1984,3742240,296,57,2021-04-30T08:00:00
AT,Niederösterreich,103826,99497,1716,7268736,328,102,2021-04-30T08:00:00
AT,Oberösterreich,111436,105844,1698,4444219,215,62,2021-04-30T08:00:00
AT,Wien,132294,126773,2189,6702849,538,181,2021-04-30T08:00:00
AT,,615069,582575,10179,31589724,1726,496,2021-04-30T08:00:00
