country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,9230,8791,177,114729,43,10,2020-12-31T09:30:00
AT,Vorarlberg,19233,18494,218,235292,65,16,2020-12-31T09:30:00
AT,Kärnten,21099,19345,520,172784,146,12,2020-12-31T09:30:00
AT,Salzburg,28257,25133,332,217713,148,24,2020-12-31T09:30:00
AT,Tirol,40289,38498,476,459639,138,36,2020-12-31T09:30:00
AT,Steiermark,42152,37419,1326,393234,387,65,2020-12-31T09:30:00
AT,Niederösterreich,53782,49808,861,698629,384,55,2020-12-31T09:30:00
AT,Oberösterreich,71727,67688,1209,465906,535,74,2020-12-31T09:30:00
AT,Wien,72645,67776,1103,1078994,496,104,2020-12-31T09:30:00
AT,,358414,332952,6222,3836920,2342,396,2020-12-31T09:30:00
