country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,125911,121848,562,5346530,35,6,2022-07-06T09:30:00+02:00
AT,Vorarlberg,214469,211799,551,7101443,43,2,2022-07-06T09:30:00+02:00
AT,Kärnten,255715,250902,1632,6642464,46,0,2022-07-06T09:30:00+02:00
AT,Salzburg,308179,303370,1145,10663945,44,0,2022-07-06T09:30:00+02:00
AT,Tirol,372339,365553,940,9615321,85,4,2022-07-06T09:30:00+02:00
AT,Steiermark,570604,558253,3401,21184532,139,8,2022-07-06T09:30:00+02:00
AT,Oberösterreich,796642,782450,2855,24600352,130,4,2022-07-06T09:30:00+02:00
AT,Niederösterreich,860323,827930,3684,39621526,213,7,2022-07-06T09:30:00+02:00
AT,Wien,983493,932818,4046,66306135,223,27,2022-07-06T09:30:00+02:00
AT,Österreich,4487675,4354923,18816,191082248,958,58,2022-07-06T09:30:00+02:00
