country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,122729,119684,560,5309711,34,5,2022-06-26T09:30:00+02:00
AT,Vorarlberg,210494,208251,548,7085178,21,1,2022-06-26T09:30:00+02:00
AT,Kärnten,252063,248146,1631,6623864,42,2,2022-06-26T09:30:00+02:00
AT,Salzburg,303088,298590,1144,10630853,41,0,2022-06-26T09:30:00+02:00
AT,Tirol,366432,361190,939,9585834,57,3,2022-06-26T09:30:00+02:00
AT,Steiermark,560288,550315,3397,21089190,77,5,2022-06-26T09:30:00+02:00
AT,Oberösterreich,783555,772625,2850,24530160,84,2,2022-06-26T09:30:00+02:00
AT,Niederösterreich,839500,810886,3666,39500072,149,3,2022-06-26T09:30:00+02:00
AT,Wien,948708,912132,4025,65693636,181,25,2022-06-26T09:30:00+02:00
AT,Österreich,4386857,4281819,18760,190048498,686,46,2022-06-26T09:30:00+02:00
