country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,16086,14796,289,1013451,82,21,2021-04-06T08:00:00
AT,Vorarlberg,25008,24574,282,1404607,28,3,2021-04-06T08:00:00
AT,Kärnten,34859,32353,750,1023928,90,13,2021-04-06T08:00:00
AT,Salzburg,45157,41386,542,1477274,105,20,2021-04-06T08:00:00
AT,Tirol,54896,52060,597,2470439,150,30,2021-04-06T08:00:00
AT,Steiermark,67671,61654,1873,2995783,326,60,2021-04-06T08:00:00
AT,Niederösterreich,95190,85977,1574,5667003,470,123,2021-04-06T08:00:00
AT,Oberösterreich,101514,95566,1622,3554759,315,70,2021-04-06T08:00:00
AT,Wien,119473,107718,1953,5169561,746,224,2021-04-06T08:00:00
AT,,559854,516084,9482,24779805,2312,564,2021-04-06T08:00:00
