country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,7962,6817,125,101961,82,14,2020-12-07T09:30:00
AT,Kärnten,16587,13973,315,154760,393,31,2020-12-07T09:30:00
AT,Vorarlberg,16589,14876,155,185295,130,25,2020-12-07T09:30:00
AT,Salzburg,23090,18605,212,190151,218,28,2020-12-07T09:30:00
AT,Steiermark,34566,22353,653,343227,663,102,2020-12-07T09:30:00
AT,Tirol,35154,32344,375,419046,335,67,2020-12-07T09:30:00
AT,Niederösterreich,44305,37634,593,572976,524,84,2020-12-07T09:30:00
AT,Oberösterreich,61630,55631,797,416585,894,141,2020-12-07T09:30:00
AT,Wien,63180,54578,672,878087,646,124,2020-12-07T09:30:00
AT,,303063,256811,3897,3262088,3885,616,2020-12-07T09:30:00
