country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,117350,114715,554,5188111,48,6,2022-05-15T09:30:00+02:00
AT,Vorarlberg,203075,201691,547,7044909,11,2,2022-05-15T09:30:00+02:00
AT,Kärnten,245794,242127,1618,6569518,63,2,2022-05-15T09:30:00+02:00
AT,Salzburg,292764,289200,1132,10559380,32,1,2022-05-15T09:30:00+02:00
AT,Tirol,355815,352250,933,9512700,57,5,2022-05-15T09:30:00+02:00
AT,Steiermark,543908,536547,3377,20846317,101,2,2022-05-15T09:30:00+02:00
AT,Oberösterreich,761894,752870,2830,24203419,82,10,2022-05-15T09:30:00+02:00
AT,Niederösterreich,801205,778982,3335,37960787,167,10,2022-05-15T09:30:00+02:00
AT,Wien,890687,867503,3977,63149764,229,20,2022-05-15T09:30:00+02:00
AT,Österreich,4212492,4135885,18303,185034905,790,58,2022-05-15T09:30:00+02:00
