country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,8963,8453,168,111720,38,8,2020-12-26T09:30:00
AT,Vorarlberg,18652,17905,208,226736,62,12,2020-12-26T09:30:00
AT,Kärnten,20256,18676,484,169518,173,13,2020-12-26T09:30:00
AT,Salzburg,27026,23993,307,212125,156,31,2020-12-26T09:30:00
AT,Tirol,39122,37665,466,452006,153,43,2020-12-26T09:30:00
AT,Steiermark,40925,34167,1234,384707,406,79,2020-12-26T09:30:00
AT,Niederösterreich,51942,48123,810,677976,391,55,2020-12-26T09:30:00
AT,Oberösterreich,70023,66019,1137,453200,580,83,2020-12-26T09:30:00
AT,Wien,70912,65752,1029,1059340,496,107,2020-12-26T09:30:00
AT,,347821,320753,5843,3747328,2455,431,2020-12-26T09:30:00
