country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,18863,18309,343,2725221,8,1,2021-08-23T09:30:00+02:00
AT,Vorarlberg,32102,31191,308,4297871,15,3,2021-08-23T09:30:00+02:00
AT,Kärnten,41415,40211,822,3390884,20,4,2021-08-23T09:30:00+02:00
AT,Salzburg,51308,49940,590,4967645,15,4,2021-08-23T09:30:00+02:00
AT,Tirol,66327,64839,637,5770965,27,7,2021-08-23T09:30:00+02:00
AT,Steiermark,82529,79095,2102,10435287,44,11,2021-08-23T09:30:00+02:00
AT,Niederösterreich,114644,110405,1831,14356398,59,14,2021-08-23T09:30:00+02:00
AT,Oberösterreich,121644,118000,1759,11977725,74,13,2021-08-23T09:30:00+02:00
AT,Wien,148771,142365,2371,16194692,111,20,2021-08-23T09:30:00+02:00
AT,Österreich,677603,654355,10763,74116688,373,77,2021-08-23T09:30:00+02:00
