country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,10359,10009,203,352275,53,8,2021-01-22T09:30:00
AT,Vorarlberg,20872,21001,243,490297,51,11,2021-01-22T09:30:00
AT,Kärnten,23702,23255,610,428497,96,10,2021-01-22T09:30:00
AT,Salzburg,32691,30532,401,455931,129,19,2021-01-22T09:30:00
AT,Tirol,43044,42239,526,886084,135,34,2021-01-22T09:30:00
AT,Steiermark,46907,43518,1531,861388,284,53,2021-01-22T09:30:00
AT,Niederösterreich,60886,57464,1074,2096891,420,54,2021-01-22T09:30:00
AT,Oberösterreich,77226,75054,1389,1174394,286,41,2021-01-22T09:30:00
AT,Wien,79262,75336,1353,1848134,463,101,2021-01-22T09:30:00
AT,,394949,378408,7330,8607152,1917,331,2021-01-22T09:30:00
