country,nuts_2,cases,recovered,deaths,tests,hospitalized,intensive_care,datetime
AT,Burgenland,132795,128072,571,5416819,78,12,2022-07-25T09:30:00+02:00
AT,Vorarlberg,222861,220475,556,7134043,60,5,2022-07-25T09:30:00+02:00
AT,Kärnten,265594,259466,1644,6674704,104,3,2022-07-25T09:30:00+02:00
AT,Salzburg,319679,313765,1157,10726469,68,2,2022-07-25T09:30:00+02:00
AT,Tirol,385026,377852,946,9675954,138,6,2022-07-25T09:30:00+02:00
AT,Steiermark,593344,579598,3417,21342628,197,13,2022-07-25T09:30:00+02:00
AT,Oberösterreich,828271,812155,2879,24737570,267,9,2022-07-25T09:30:00+02:00
AT,Niederösterreich,903355,867733,3768,39988578,350,15,2022-07-25T09:30:00+02:00
AT,Wien,1044973,992861,4068,67250277,374,23,2022-07-25T09:30:00+02:00
AT,Österreich,4695898,4551977,19006,192947042,1636,88,2022-07-25T09:30:00+02:00
