country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1170.0,15.0,,3.0,,2021-05-31
CH,Obwalden,OW,2484.0,39.0,,0.0,,2021-05-31
CH,Nidwalden,NW,2686.0,23.0,,2.0,0.0,2021-05-31
CH,Glarus,GL,2754.0,76.0,,0.0,1.0,2021-05-31
CH,Uri,UR,3231.0,49.0,,5.0,,2021-05-31
CH,Schaffhausen,SH,4719.0,77.0,,3.0,4.0,2021-05-31
CH,Jura,JU,6951.0,2.0,,2.0,1.0,2021-05-31
CH,Zug,ZG,8351.0,121.0,,4.0,1.0,2021-05-31
CH,Schwyz,SZ,11938.0,232.0,,,,2021-05-31
CH,Basel-Stadt,BS,12796.0,204.0,,10.0,1.0,2021-05-31
CH,Grisons,GR,13395.0,191.0,,3.0,3.0,2021-05-31
CH,Neuchâtel,NE,17332.0,404.0,,12.0,1.0,2021-05-31
CH,Solothurn,SO,17778.0,,,-2.0,2.0,2021-05-31
CH,Basel-Landschaft,BL,18070.0,218.0,,8.0,0.0,2021-05-31
CH,Thurgau,TG,18749.0,453.0,,18.0,6.0,2021-05-31
CH,Lucerne,LU,28517.0,,,43.0,,2021-05-31
CH,Fribourg,FR,32097.0,486.0,,6.0,4.0,2021-05-31
CH,Ticino,TI,33056.0,995.0,,11.0,0.0,2021-05-31
CH,Valais,VS,37861.0,672.0,,12.0,3.0,2021-05-31
CH,St. Gallen,SG,42150.0,709.0,,32.0,8.0,2021-05-31
CH,Aargau,AG,47506.0,700.0,,19.0,7.0,2021-05-31
CH,Geneva,GE,54111.0,784.0,,25.0,6.0,2021-05-31
CH,Berne,BE,65070.0,1094.0,,40.0,21.0,2021-05-31
CH,Vaud,VD,83667.0,1014.0,,43.0,13.0,2021-05-31
CH,Zürich,ZH,111449.0,1404.0,,54.0,39.0,2021-05-31
CH,,,680755.0,10616.0,408627.0,390.0,137.0,2021-05-31
CH,Appenzell Ausserrhoden,AR,,,,,,2021-05-31
