country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,664.0,15.0,,5.0,,2020-12-24
CH,Obwalden,OW,1313.0,30.0,,8.0,,2020-12-24
CH,Nidwalden,NW,1331.0,12.0,,3.0,1.0,2020-12-24
CH,Glarus,GL,1483.0,35.0,,13.0,1.0,2020-12-24
CH,Appenzell Ausserrhoden,AR,2287.0,38.0,,16.0,1.0,2020-12-24
CH,Schaffhausen,SH,2829.0,49.0,,17.0,4.0,2020-12-24
CH,Jura,JU,4282.0,107.0,,27.0,0.0,2020-12-24
CH,Zug,ZG,4575.0,61.0,,15.0,4.0,2020-12-24
CH,Schwyz,SZ,7163.0,130.0,,,,2020-12-24
CH,Grisons,GR,7653.0,133.0,,37.0,7.0,2020-12-24
CH,Basel-Stadt,BS,7668.0,135.0,,113.0,18.0,2020-12-24
CH,Solothurn,SO,9949.0,179.0,,49.0,13.0,2020-12-24
CH,Basel-Landschaft,BL,10382.0,147.0,,48.0,9.0,2020-12-24
CH,Thurgau,TG,11218.0,222.0,,55.0,25.0,2020-12-24
CH,Neuchâtel,NE,11292.0,313.0,,36.0,6.0,2020-12-24
CH,Lucerne,LU,15662.0,217.0,,99.0,,2020-12-24
CH,Ticino,TI,21734.0,720.0,,297.0,41.0,2020-12-24
CH,Fribourg,FR,22933.0,400.0,,47.0,10.0,2020-12-24
CH,Valais,VS,25022.0,504.0,,48.0,15.0,2020-12-24
CH,St. Gallen,SG,26086.0,,,145.0,25.0,2020-12-24
CH,Aargau,AG,26799.0,414.0,,135.0,37.0,2020-12-24
CH,Berne,BE,40551.0,669.0,,220.0,44.0,2020-12-24
CH,Vaud,VD,55152.0,790.0,,231.0,50.0,2020-12-24
CH,Zürich,ZH,64758.0,794.0,,401.0,98.0,2020-12-24
CH,Geneva,GE,171961.0,769.0,,122.0,12.0,2020-12-24
CH,,,556013.0,7382.0,275645.0,2200.0,436.0,2020-12-24
CH,Uri,UR,,,,,,2020-12-24
