country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Obwalden,OW,17226.0,61.0,,0.0,,2022-06-22
CH,Nidwalden,NW,18769.0,36.0,,1.0,0.0,2022-06-22
CH,Schaffhausen,SH,33114.0,133.0,,5.0,1.0,2022-06-22
CH,Zug,ZG,51673.0,170.0,,7.0,1.0,2022-06-22
CH,Neuchâtel,NE,78462.0,469.0,,20.0,0.0,2022-06-22
CH,Basel-Stadt,BS,85684.0,289.0,,53.0,2.0,2022-06-22
CH,Solothurn,SO,117569.0,367.0,,12.0,1.0,2022-06-22
CH,Thurgau,TG,122399.0,691.0,,16.0,3.0,2022-06-22
CH,Basel-Landschaft,BL,129276.0,299.0,,11.0,1.0,2022-06-22
CH,Fribourg,FR,145323.0,577.0,,23.0,1.0,2022-06-22
CH,Ticino,TI,152209.0,1194.0,,53.0,1.0,2022-06-22
CH,Lucerne,LU,182602.0,,,,,2022-06-22
CH,St. Gallen,SG,216175.0,,,9.0,0.0,2022-06-22
CH,Geneva,GE,218226.0,,,213.0,1.0,2022-06-22
CH,Zürich,ZH,652414.0,1803.0,,130.0,4.0,2022-06-22
CH,,,3520552.0,13789.0,1020797.0,1072.0,61.0,2022-06-22
CH,Aargau,AG,,,,,,2022-06-22
CH,Appenzell Innerrhoden,AI,,,,,,2022-06-22
CH,Appenzell Ausserrhoden,AR,,,,,,2022-06-22
CH,Berne,BE,,,,,,2022-06-22
CH,Glarus,GL,,,,,,2022-06-22
CH,Grisons,GR,,,,,,2022-06-22
CH,Jura,JU,,,,,,2022-06-22
CH,Schwyz,SZ,,,,,,2022-06-22
CH,Uri,UR,,,,,,2022-06-22
CH,Vaud,VD,,,,,,2022-06-22
CH,Valais,VS,,,,,,2022-06-22
