country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,679.0,15.0,,5.0,,2020-12-28
CH,Uri,UR,1331.0,32.0,,9.0,,2020-12-28
CH,Obwalden,OW,1348.0,30.0,,5.0,,2020-12-28
CH,Nidwalden,NW,1374.0,12.0,,4.0,3.0,2020-12-28
CH,Glarus,GL,1504.0,35.0,,12.0,4.0,2020-12-28
CH,Appenzell Ausserrhoden,AR,2340.0,38.0,,13.0,1.0,2020-12-28
CH,Schaffhausen,SH,2927.0,52.0,,20.0,2.0,2020-12-28
CH,Jura,JU,4351.0,127.0,,32.0,1.0,2020-12-28
CH,Zug,ZG,4710.0,65.0,,12.0,3.0,2020-12-28
CH,Schwyz,SZ,7397.0,133.0,,,,2020-12-28
CH,Grisons,GR,7874.0,136.0,,39.0,7.0,2020-12-28
CH,Basel-Stadt,BS,7901.0,139.0,,116.0,25.0,2020-12-28
CH,Solothurn,SO,10288.0,191.0,,56.0,14.0,2020-12-28
CH,Basel-Landschaft,BL,10737.0,161.0,,68.0,7.0,2020-12-28
CH,Neuchâtel,NE,11471.0,321.0,,37.0,3.0,2020-12-28
CH,Thurgau,TG,11608.0,253.0,,68.0,17.0,2020-12-28
CH,Lucerne,LU,16214.0,226.0,,110.0,,2020-12-28
CH,Ticino,TI,22513.0,750.0,,322.0,44.0,2020-12-28
CH,Fribourg,FR,23138.0,400.0,,44.0,11.0,2020-12-28
CH,Valais,VS,25366.0,512.0,,49.0,15.0,2020-12-28
CH,St. Gallen,SG,26810.0,494.0,,155.0,27.0,2020-12-28
CH,Aargau,AG,27659.0,446.0,,143.0,36.0,2020-12-28
CH,Geneva,GE,37220.0,782.0,,133.0,11.0,2020-12-28
CH,Berne,BE,41848.0,713.0,,256.0,53.0,2020-12-28
CH,Vaud,VD,55992.0,800.0,,258.0,45.0,2020-12-28
CH,Zürich,ZH,66743.0,848.0,,398.0,100.0,2020-12-28
CH,,,431343.0,7711.0,277767.0,2370.0,444.0,2020-12-28
