country,nuts_3,nuts_3_code,cases,deaths,tests,hospitalized,intensive_care,datetime
CH,Appenzell Innerrhoden,AI,1236.0,15.0,,,,2021-06-24
CH,Obwalden,OW,2595.0,39.0,,1.0,,2021-06-24
CH,Nidwalden,NW,2737.0,23.0,,0.0,0.0,2021-06-24
CH,Glarus,GL,2806.0,78.0,,0.0,0.0,2021-06-24
CH,Uri,UR,3262.0,50.0,,0.0,,2021-06-24
CH,Schaffhausen,SH,4800.0,78.0,,0.0,1.0,2021-06-24
CH,Jura,JU,7089.0,145.0,,2.0,0.0,2021-06-24
CH,Zug,ZG,8443.0,121.0,,0.0,0.0,2021-06-24
CH,Schwyz,SZ,12306.0,238.0,,,,2021-06-24
CH,Basel-Stadt,BS,12954.0,205.0,,10.0,4.0,2021-06-24
CH,Grisons,GR,13609.0,192.0,,2.0,0.0,2021-06-24
CH,Neuchâtel,NE,17468.0,404.0,,1.0,0.0,2021-06-24
CH,Solothurn,SO,17949.0,,,0.0,0.0,2021-06-24
CH,Basel-Landschaft,BL,18222.0,219.0,,0.0,0.0,2021-06-24
CH,Thurgau,TG,18944.0,456.0,,3.0,2.0,2021-06-24
CH,Lucerne,LU,28896.0,,,12.0,,2021-06-24
CH,Fribourg,FR,32550.0,489.0,,7.0,1.0,2021-06-24
CH,Ticino,TI,33230.0,995.0,,2.0,0.0,2021-06-24
CH,Valais,VS,38124.0,673.0,,4.0,2.0,2021-06-24
CH,St. Gallen,SG,42805.0,715.0,,3.0,1.0,2021-06-24
CH,Aargau,AG,47906.0,704.0,,5.0,1.0,2021-06-24
CH,Geneva,GE,54421.0,880.0,,64.0,1.0,2021-06-24
CH,Berne,BE,65619.0,1101.0,,6.0,8.0,2021-06-24
CH,Vaud,VD,84293.0,1018.0,,18.0,9.0,2021-06-24
CH,Zürich,ZH,112566.0,1414.0,,15.0,16.0,2021-06-24
CH,,,687697.0,10906.0,410764.0,193.0,62.0,2021-06-24
CH,Appenzell Ausserrhoden,AR,,,,,,2021-06-24
