country,lau,cases,population,cases/100k pop.,datetime
FI,Keuruu,28,9500,294.736842105263,2021-08-13T11:00:00
FI,Nurmes,29,9507,305.038392763227,2021-08-13T11:00:00
FI,Joroinen,29,4691,618.205073545086,2021-08-13T11:00:00
FI,Pyhäjoki,29,3055,949.263502454992,2021-08-13T11:00:00
FI,Ruokolahti,29,4934,587.758411025537,2021-08-13T11:00:00
FI,Sievi,29,4835,599.793174767322,2021-08-13T11:00:00
FI,Vesilahti,30,4364,687.442713107241,2021-08-13T11:00:00
FI,Pello,30,3310,906.344410876133,2021-08-13T11:00:00
FI,Lemland,30,2112,1420.45454545455,2021-08-13T11:00:00
FI,Kaustinen,30,4234,708.549834671705,2021-08-13T11:00:00
FI,Pyhäranta,30,1990,1507.53768844221,2021-08-13T11:00:00
FI,Koski Tl,30,2293,1308.32969908417,2021-08-13T11:00:00
FI,Mäntyharju,31,5685,545.294635004398,2021-08-13T11:00:00
FI,Leppävirta,32,9396,340.570455512984,2021-08-13T11:00:00
FI,Siikajoki,32,5038,635.172687574434,2021-08-13T11:00:00
FI,Ilomantsi,32,4751,673.542412123763,2021-08-13T11:00:00
FI,Liperi,32,11996,266.755585195065,2021-08-13T11:00:00
FI,Oulainen,33,7149,461.603021401595,2021-08-13T11:00:00
FI,Suonenjoki,33,6941,475.435816164818,2021-08-13T11:00:00
FI,Hammarland,33,1599,2063.78986866792,2021-08-13T11:00:00
FI,Oripää,33,1331,2479.33884297521,2021-08-13T11:00:00
FI,Pielavesi,34,4326,785.945446139621,2021-08-13T11:00:00
FI,Virolahti,34,3108,1093.95109395109,2021-08-13T11:00:00
FI,Haapavesi,35,6677,524.187509360491,2021-08-13T11:00:00
FI,Vehmaa,36,2290,1572.05240174672,2021-08-13T11:00:00
FI,Kangasniemi,36,5317,677.073537709235,2021-08-13T11:00:00
FI,Ikaalinen,36,6866,524.322749781532,2021-08-13T11:00:00
FI,Kärkölä,36,4333,830.833141010847,2021-08-13T11:00:00
FI,Saarijärvi,38,9220,412.147505422994,2021-08-13T11:00:00
FI,Korsnäs,38,2068,1837.52417794971,2021-08-13T11:00:00
FI,Petäjävesi,39,3770,1034.48275862069,2021-08-13T11:00:00
FI,Iitti,39,6623,588.857013438019,2021-08-13T11:00:00
FI,Kristiinankaupunki,39,6408,608.614232209738,2021-08-13T11:00:00
FI,Lapinjärvi,40,2625,1523.80952380952,2021-08-13T11:00:00
FI,Keminmaa,41,7994,512.884663497623,2021-08-13T11:00:00
FI,Jokioinen,41,5059,810.436845226329,2021-08-13T11:00:00
FI,Hankasalmi,41,4779,857.920066959615,2021-08-13T11:00:00
FI,Muhos,42,8911,471.327572663001,2021-08-13T11:00:00
FI,Ulvila,42,12738,329.722091380122,2021-08-13T11:00:00
FI,Nousiainen,43,4697,915.477964658293,2021-08-13T11:00:00
FI,Juva,44,5932,741.73971679029,2021-08-13T11:00:00
FI,Kokemäki,44,7019,626.869924490668,2021-08-13T11:00:00
FI,Uurainen,46,3644,1262.34906695939,2021-08-13T11:00:00
FI,Tyrnävä,46,6607,696.231269865294,2021-08-13T11:00:00
FI,Sauvo,46,2946,1561.43923964698,2021-08-13T11:00:00
FI,Nivala,47,10507,447.320833729894,2021-08-13T11:00:00
