country,lau,cases,population,cases/100k pop.,datetime
FI,Sottunga,18,100,18000.0,2022-10-25T10:00:00
FI,Honkajoki (ennen liitosta),25,1598,1564.45556946183,2022-10-25T10:00:00
FI,Kökar,38,225,16888.8888888889,2022-10-25T10:00:00
FI,Luhanka,47,691,6801.73661360347,2022-10-25T10:00:00
FI,Kumlinge,52,308,16883.1168831169,2022-10-25T10:00:00
FI,Posio,76,3118,2437.45991019885,2022-10-25T10:00:00
FI,Lestijärvi,80,722,11080.3324099723,2022-10-25T10:00:00
FI,Lumparland,84,370,22702.7027027027,2022-10-25T10:00:00
FI,Tervo,86,1508,5702.91777188329,2022-10-25T10:00:00
FI,Kustavi,95,957,9926.85475444096,2022-10-25T10:00:00
FI,Savukoski,108,1009,10703.6669970268,2022-10-25T10:00:00
FI,Brändö,112,449,24944.3207126949,2022-10-25T10:00:00
FI,Enontekiö,119,1812,6567.3289183223,2022-10-25T10:00:00
FI,Merijärvi,123,1078,11410.0185528757,2022-10-25T10:00:00
FI,Vårdö,130,454,28634.3612334802,2022-10-25T10:00:00
FI,Vesanto,132,1976,6680.16194331984,2022-10-25T10:00:00
FI,Karijoki,133,1208,11009.9337748344,2022-10-25T10:00:00
FI,Pelkosenniemi,134,931,14393.1256713212,2022-10-25T10:00:00
FI,Hailuoto,138,951,14511.0410094637,2022-10-25T10:00:00
FI,Geta,147,514,28599.2217898833,2022-10-25T10:00:00
FI,Föglö,152,526,28897.3384030418,2022-10-25T10:00:00
FI,Multia,153,1566,9770.11494252874,2022-10-25T10:00:00
FI,Juupajoki,155,1795,8635.09749303621,2022-10-25T10:00:00
FI,Rautavaara,162,1561,10377.9628443306,2022-10-25T10:00:00
FI,Siikainen,164,1384,11849.710982659,2022-10-25T10:00:00
FI,Kivijärvi,167,1104,15126.8115942029,2022-10-25T10:00:00
FI,Ranua,180,3713,4847.83194182602,2022-10-25T10:00:00
FI,Kannonkoski,182,1326,13725.4901960784,2022-10-25T10:00:00
FI,Utsjoki,184,1223,15044.9713818479,2022-10-25T10:00:00
FI,Isojoki,191,1927,9911.77996886352,2022-10-25T10:00:00
FI,Halsua,193,1102,17513.611615245,2022-10-25T10:00:00
FI,Keitele,199,2158,9221.50139017609,2022-10-25T10:00:00
FI,Taivalkoski,202,3914,5160.96065406234,2022-10-25T10:00:00
FI,Kyyjärvi,203,1293,15699.9226604795,2022-10-25T10:00:00
FI,Simo,205,2948,6953.86702849389,2022-10-25T10:00:00
FI,Taivassalo,209,1656,12620.7729468599,2022-10-25T10:00:00
FI,Vaala,215,2738,7852.44704163623,2022-10-25T10:00:00
FI,Tervola,216,2925,7384.61538461539,2022-10-25T10:00:00
FI,Kaskinen,220,1279,17200.9382329945,2022-10-25T10:00:00
FI,Kinnula,225,1601,14053.716427233,2022-10-25T10:00:00
FI,Kihniö,229,1822,12568.6059275521,2022-10-25T10:00:00
FI,Oripää,229,1331,17205.1089406461,2022-10-25T10:00:00
FI,Muonio,231,2302,10034.7523892268,2022-10-25T10:00:00
FI,Tuusniemi,234,2434,9613.80443714051,2022-10-25T10:00:00
FI,Ristijärvi,241,1238,19466.8820678514,2022-10-25T10:00:00
FI,Jämijärvi,247,1708,14461.3583138173,2022-10-25T10:00:00
FI,Rääkkylä,250,2070,12077.2946859903,2022-10-25T10:00:00
FI,Enonkoski,251,1374,18267.8311499272,2022-10-25T10:00:00
FI,Kuhmoinen,254,2169,11710.4656523744,2022-10-25T10:00:00
FI,Eckerö,254,960,26458.3333333333,2022-10-25T10:00:00
FI,Kärsämäki,263,2544,10338.0503144654,2022-10-25T10:00:00
FI,Ylitornio,263,3889,6762.66392388789,2022-10-25T10:00:00
FI,Pertunmaa,273,1653,16515.4264972777,2022-10-25T10:00:00
FI,Konnevesi,274,2593,10566.9109139992,2022-10-25T10:00:00
FI,Punkalaidun,277,2788,9935.43758967001,2022-10-25T10:00:00
FI,Toivakka,286,2401,11911.703456893,2022-10-25T10:00:00
FI,Sund,291,1012,28754.9407114625,2022-10-25T10:00:00
