country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,899,372.7,2021-01-25T00:00:00
NO,møre og romsdal,1171,441.5,2021-01-25T00:00:00
NO,troms og finnmark,1228,504.7,2021-01-25T00:00:00
NO,agder,1427,464.5,2021-01-25T00:00:00
NO,vestfold og telemark,2970,708.2,2021-01-25T00:00:00
NO,innlandet,3209,864.1,2021-01-25T00:00:00
NO,rogaland,3392,706.8,2021-01-25T00:00:00
NO,trøndelag,3401,725.6,2021-01-25T00:00:00
NO,vestland,6125,962.2,2021-01-25T00:00:00
NO,oslo,16672,2404.1,2021-01-25T00:00:00
NO,viken,19605,1579.6,2021-01-25T00:00:00
