country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40197,16724.7,2022-07-07T00:00:00
NO,troms og finnmark,48806,20153.8,2022-07-07T00:00:00
NO,møre og romsdal,54721,20607.1,2022-07-07T00:00:00
NO,innlandet,79733,21514.4,2022-07-07T00:00:00
NO,agder,80339,26012.9,2022-07-07T00:00:00
NO,trøndelag,101359,21514.3,2022-07-07T00:00:00
NO,vestfold og telemark,103804,24605,2022-07-07T00:00:00
NO,rogaland,123301,25546.9,2022-07-07T00:00:00
NO,vestland,146204,22886.5,2022-07-07T00:00:00
NO,oslo,260047,37308.9,2022-07-07T00:00:00
NO,viken,389524,31102.6,2022-07-07T00:00:00
