country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40572,16880.7,2022-08-15T00:00:00
NO,troms og finnmark,49143,20292.9,2022-08-15T00:00:00
NO,møre og romsdal,55253,20807.5,2022-08-15T00:00:00
NO,innlandet,80284,21663.1,2022-08-15T00:00:00
NO,agder,80824,26169.9,2022-08-15T00:00:00
NO,trøndelag,102070,21665.2,2022-08-15T00:00:00
NO,vestfold og telemark,104311,24725.2,2022-08-15T00:00:00
NO,rogaland,123833,25657.2,2022-08-15T00:00:00
NO,vestland,147345,23065.1,2022-08-15T00:00:00
NO,oslo,261144,37466.3,2022-08-15T00:00:00
NO,viken,391055,31224.8,2022-08-15T00:00:00
