country,nuts_3,cases,cases/100k pop.,datetime
NO,Nordland,115,47.7,2020-05-07T00:00:00
NO,Møre og Romsdal,123,46.4,2020-05-07T00:00:00
NO,Troms og Finnmark,247,101.5,2020-05-07T00:00:00
NO,Vestfold og Telemark,278,66.3,2020-05-07T00:00:00
NO,Agder,333,108.4,2020-05-07T00:00:00
NO,Rogaland,435,90.6,2020-05-07T00:00:00
NO,Innlandet,453,122.0,2020-05-07T00:00:00
NO,Trøndelag,506,108.0,2020-05-07T00:00:00
NO,Vestland,871,136.8,2020-05-07T00:00:00
NO,Viken,2122,171.0,2020-05-07T00:00:00
NO,Oslo,2470,356.2,2020-05-07T00:00:00
