country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,508,210.6,2020-11-23T00:00:00
NO,møre og romsdal,612,230.7,2020-11-23T00:00:00
NO,troms og finnmark,827,339.9,2020-11-23T00:00:00
NO,agder,992,322.9,2020-11-23T00:00:00
NO,vestfold og telemark,1100,262.3,2020-11-23T00:00:00
NO,trøndelag,1183,252.4,2020-11-23T00:00:00
NO,rogaland,1492,310.9,2020-11-23T00:00:00
NO,innlandet,1572,423.3,2020-11-23T00:00:00
NO,vestland,4874,765.7,2020-11-23T00:00:00
NO,viken,9457,761.9,2020-11-23T00:00:00
NO,oslo,9770,1408.8,2020-11-23T00:00:00
