country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,7422,3088.1,2022-01-02T00:00:00
NO,møre og romsdal,8851,3333.2,2022-01-02T00:00:00
NO,troms og finnmark,12637,5218.3,2022-01-02T00:00:00
NO,innlandet,15534,4191.5,2022-01-02T00:00:00
NO,agder,17827,5772.2,2022-01-02T00:00:00
NO,trøndelag,21863,4640.6,2022-01-02T00:00:00
NO,vestfold og telemark,24132,5720.1,2022-01-02T00:00:00
NO,rogaland,24404,5056.3,2022-01-02T00:00:00
NO,vestland,33350,5220.6,2022-01-02T00:00:00
NO,oslo,97285,13957.5,2022-01-02T00:00:00
NO,viken,120499,9621.6,2022-01-02T00:00:00
