country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40064,16669.4,2022-06-30T00:00:00
NO,troms og finnmark,48593,20065.8,2022-06-30T00:00:00
NO,møre og romsdal,54455,20507,2022-06-30T00:00:00
NO,innlandet,79545,21463.7,2022-06-30T00:00:00
NO,agder,80138,25947.8,2022-06-30T00:00:00
NO,trøndelag,101059,21450.6,2022-06-30T00:00:00
NO,vestfold og telemark,103528,24539.6,2022-06-30T00:00:00
NO,rogaland,123071,25499.3,2022-06-30T00:00:00
NO,vestland,145699,22807.5,2022-06-30T00:00:00
NO,oslo,259536,37235.6,2022-06-30T00:00:00
NO,viken,388648,31032.7,2022-06-30T00:00:00
