country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1041,431.5,2021-02-22T00:00:00
NO,troms og finnmark,1227,504.3,2021-02-22T00:00:00
NO,møre og romsdal,1266,477.3,2021-02-22T00:00:00
NO,agder,1901,618.8,2021-02-22T00:00:00
NO,innlandet,3385,911.5,2021-02-22T00:00:00
NO,vestfold og telemark,3395,809.5,2021-02-22T00:00:00
NO,rogaland,3497,728.7,2021-02-22T00:00:00
NO,trøndelag,3546,756.6,2021-02-22T00:00:00
NO,vestland,6729,1057.1,2021-02-22T00:00:00
NO,oslo,18828,2714.9,2021-02-22T00:00:00
NO,viken,22494,1812.3,2021-02-22T00:00:00
