country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1883,783.5,2021-08-03T00:00:00
NO,møre og romsdal,2476,932.4,2021-08-03T00:00:00
NO,troms og finnmark,2690,1110.8,2021-08-03T00:00:00
NO,agder,5514,1785.4,2021-08-03T00:00:00
NO,trøndelag,5678,1205.2,2021-08-03T00:00:00
NO,innlandet,6061,1635.4,2021-08-03T00:00:00
NO,rogaland,8089,1676,2021-08-03T00:00:00
NO,vestfold og telemark,9124,2162.7,2021-08-03T00:00:00
NO,vestland,10887,1704.2,2021-08-03T00:00:00
NO,oslo,38159,5474.7,2021-08-03T00:00:00
NO,viken,45102,3601.3,2021-08-03T00:00:00
