country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,6726,2798.5,2021-12-20T00:00:00
NO,møre og romsdal,8013,3017.6,2021-12-20T00:00:00
NO,troms og finnmark,11758,4855.3,2021-12-20T00:00:00
NO,innlandet,13988,3774.4,2021-12-20T00:00:00
NO,agder,14620,4733.8,2021-12-20T00:00:00
NO,trøndelag,20148,4276.6,2021-12-20T00:00:00
NO,rogaland,21042,4359.7,2021-12-20T00:00:00
NO,vestfold og telemark,21342,5058.8,2021-12-20T00:00:00
NO,vestland,30270,4738.4,2021-12-20T00:00:00
NO,oslo,87396,12538.7,2021-12-20T00:00:00
NO,viken,109117,8712.7,2021-12-20T00:00:00
