country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,181,75,2020-09-01T00:00:00
NO,møre og romsdal,184,69.4,2020-09-01T00:00:00
NO,troms og finnmark,323,132.8,2020-09-01T00:00:00
NO,vestfold og telemark,361,86.1,2020-09-01T00:00:00
NO,agder,407,132.5,2020-09-01T00:00:00
NO,rogaland,531,110.6,2020-09-01T00:00:00
NO,innlandet,578,155.6,2020-09-01T00:00:00
NO,trøndelag,626,133.6,2020-09-01T00:00:00
NO,vestland,1094,171.9,2020-09-01T00:00:00
NO,viken,3026,243.8,2020-09-01T00:00:00
NO,oslo,3471,500.5,2020-09-01T00:00:00
