country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,39094,16265.8,2022-04-19T00:00:00
NO,troms og finnmark,47615,19662,2022-04-19T00:00:00
NO,møre og romsdal,52871,19910.4,2022-04-19T00:00:00
NO,innlandet,77906,21021.4,2022-04-19T00:00:00
NO,agder,79165,25632.8,2022-04-19T00:00:00
NO,trøndelag,99419,21102.5,2022-04-19T00:00:00
NO,vestfold og telemark,101361,24025.9,2022-04-19T00:00:00
NO,rogaland,120830,25035,2022-04-19T00:00:00
NO,vestland,142775,22349.8,2022-04-19T00:00:00
NO,oslo,256168,36752.4,2022-04-19T00:00:00
NO,viken,381772,30483.6,2022-04-19T00:00:00
