country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,4676,1945.5,2021-11-22T00:00:00
NO,møre og romsdal,5546,2088.5,2021-11-22T00:00:00
NO,troms og finnmark,7929,3274.2,2021-11-22T00:00:00
NO,agder,8828,2858.4,2021-11-22T00:00:00
NO,innlandet,9767,2635.4,2021-11-22T00:00:00
NO,rogaland,13201,2735.1,2021-11-22T00:00:00
NO,vestfold og telemark,13205,3130,2021-11-22T00:00:00
NO,trøndelag,14032,2978.4,2021-11-22T00:00:00
NO,vestland,18623,2915.2,2021-11-22T00:00:00
NO,oslo,62430,8956.8,2021-11-22T00:00:00
NO,viken,72720,5806.5,2021-11-22T00:00:00
