country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,40881,17009.3,2022-11-02T00:00:00
NO,troms og finnmark,49433,20412.7,2022-11-02T00:00:00
NO,møre og romsdal,55728,20986.4,2022-11-02T00:00:00
NO,innlandet,80904,21830.4,2022-11-02T00:00:00
NO,agder,81116,26264.5,2022-11-02T00:00:00
NO,trøndelag,102646,21787.5,2022-11-02T00:00:00
NO,vestfold og telemark,104797,24840.4,2022-11-02T00:00:00
NO,rogaland,124252,25744,2022-11-02T00:00:00
NO,vestland,148288,23212.8,2022-11-02T00:00:00
NO,oslo,262399,37646.4,2022-11-02T00:00:00
NO,viken,392477,31338.4,2022-11-02T00:00:00
