country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1029,426.6,2021-02-20T00:00:00
NO,troms og finnmark,1225,503.5,2021-02-20T00:00:00
NO,møre og romsdal,1261,475.4,2021-02-20T00:00:00
NO,agder,1818,591.7,2021-02-20T00:00:00
NO,vestfold og telemark,3363,801.9,2021-02-20T00:00:00
NO,innlandet,3376,909,2021-02-20T00:00:00
NO,rogaland,3481,725.4,2021-02-20T00:00:00
NO,trøndelag,3536,754.4,2021-02-20T00:00:00
NO,vestland,6704,1053.2,2021-02-20T00:00:00
NO,oslo,18557,2675.9,2021-02-20T00:00:00
NO,viken,22256,1793.2,2021-02-20T00:00:00
