country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,125,51.8,2020-06-23T00:00:00
NO,møre og romsdal,148,55.8,2020-06-23T00:00:00
NO,troms og finnmark,253,104,2020-06-23T00:00:00
NO,vestfold og telemark,296,70.6,2020-06-23T00:00:00
NO,agder,346,112.6,2020-06-23T00:00:00
NO,rogaland,442,92.1,2020-06-23T00:00:00
NO,innlandet,514,138.4,2020-06-23T00:00:00
NO,trøndelag,536,114.4,2020-06-23T00:00:00
NO,vestland,886,139.2,2020-06-23T00:00:00
NO,viken,2377,191.5,2020-06-23T00:00:00
NO,oslo,2827,407.6,2020-06-23T00:00:00
