country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,5473,2233,2021-12-01T00:00:00
NO,møre og romsdal,6522,2403.7,2021-12-01T00:00:00
NO,troms og finnmark,9373,3837,2021-12-01T00:00:00
NO,agder,10006,3171.2,2021-12-01T00:00:00
NO,innlandet,10946,2914.2,2021-12-01T00:00:00
NO,rogaland,15168,3088.6,2021-12-01T00:00:00
NO,vestfold og telemark,15243,3534.9,2021-12-01T00:00:00
NO,trøndelag,16450,3436.3,2021-12-01T00:00:00
NO,vestland,21870,3364.9,2021-12-01T00:00:00
NO,oslo,69458,9863.1,2021-12-01T00:00:00
NO,viken,82609,6486.3,2021-12-01T00:00:00
