country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1561,649.5,2021-05-23T00:00:00
NO,troms og finnmark,1619,668.5,2021-05-23T00:00:00
NO,møre og romsdal,1942,731.3,2021-05-23T00:00:00
NO,agder,3797,1229.4,2021-05-23T00:00:00
NO,trøndelag,4208,893.2,2021-05-23T00:00:00
NO,innlandet,5111,1379.1,2021-05-23T00:00:00
NO,rogaland,6420,1330.2,2021-05-23T00:00:00
NO,vestfold og telemark,7574,1795.3,2021-05-23T00:00:00
NO,vestland,9592,1501.5,2021-05-23T00:00:00
NO,oslo,35132,5040.4,2021-05-23T00:00:00
NO,viken,41626,3323.7,2021-05-23T00:00:00
