country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,36369,15132,2022-03-15T00:00:00
NO,troms og finnmark,44978,18573.1,2022-03-15T00:00:00
NO,møre og romsdal,48850,18396.2,2022-03-15T00:00:00
NO,innlandet,74436,20085.1,2022-03-15T00:00:00
NO,agder,75341,24394.6,2022-03-15T00:00:00
NO,vestfold og telemark,95146,22552.8,2022-03-15T00:00:00
NO,trøndelag,96521,20487.4,2022-03-15T00:00:00
NO,rogaland,115490,23928.6,2022-03-15T00:00:00
NO,vestland,136257,21329.4,2022-03-15T00:00:00
NO,oslo,246926,35426.5,2022-03-15T00:00:00
NO,viken,367033,29306.7,2022-03-15T00:00:00
