country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,39630,16488.8,2022-06-02T00:00:00
NO,troms og finnmark,48057,19844.5,2022-06-02T00:00:00
NO,møre og romsdal,53803,20261.4,2022-06-02T00:00:00
NO,innlandet,78822,21268.6,2022-06-02T00:00:00
NO,agder,79726,25814.4,2022-06-02T00:00:00
NO,trøndelag,100128,21253,2022-06-02T00:00:00
NO,vestfold og telemark,102509,24298,2022-06-02T00:00:00
NO,rogaland,122047,25287.1,2022-06-02T00:00:00
NO,vestland,144319,22591.5,2022-06-02T00:00:00
NO,oslo,258166,37039.1,2022-06-02T00:00:00
NO,viken,385316,30766.6,2022-06-02T00:00:00
