country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,224,92.9,2020-10-14T00:00:00
NO,møre og romsdal,309,116.5,2020-10-14T00:00:00
NO,troms og finnmark,401,164.8,2020-10-14T00:00:00
NO,vestfold og telemark,495,118,2020-10-14T00:00:00
NO,agder,556,181,2020-10-14T00:00:00
NO,innlandet,740,199.3,2020-10-14T00:00:00
NO,trøndelag,742,158.3,2020-10-14T00:00:00
NO,rogaland,801,166.9,2020-10-14T00:00:00
NO,vestland,2064,324.3,2020-10-14T00:00:00
NO,viken,4293,345.9,2020-10-14T00:00:00
NO,oslo,5149,742.5,2020-10-14T00:00:00
