country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,2990,1244,2021-10-04T00:00:00
NO,troms og finnmark,3992,1648.4,2021-10-04T00:00:00
NO,møre og romsdal,4136,1557.6,2021-10-04T00:00:00
NO,agder,7619,2466.9,2021-10-04T00:00:00
NO,innlandet,8127,2192.9,2021-10-04T00:00:00
NO,trøndelag,8978,1905.7,2021-10-04T00:00:00
NO,rogaland,10391,2152.9,2021-10-04T00:00:00
NO,vestfold og telemark,11299,2678.2,2021-10-04T00:00:00
NO,vestland,15087,2361.7,2021-10-04T00:00:00
NO,oslo,53062,7612.8,2021-10-04T00:00:00
NO,viken,61297,4894.4,2021-10-04T00:00:00
