country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,952,394.6,2021-02-04T00:00:00
NO,møre og romsdal,1212,456.9,2021-02-04T00:00:00
NO,troms og finnmark,1214,498.9,2021-02-04T00:00:00
NO,agder,1550,504.5,2021-02-04T00:00:00
NO,vestfold og telemark,3103,739.9,2021-02-04T00:00:00
NO,innlandet,3265,879.1,2021-02-04T00:00:00
NO,rogaland,3443,717.5,2021-02-04T00:00:00
NO,trøndelag,3484,743.3,2021-02-04T00:00:00
NO,vestland,6309,991.2,2021-02-04T00:00:00
NO,oslo,17379,2506,2021-02-04T00:00:00
NO,viken,20536,1654.6,2021-02-04T00:00:00
