country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,39198,16309.1,2022-04-23T00:00:00
NO,troms og finnmark,47687,19691.7,2022-04-23T00:00:00
NO,møre og romsdal,53053,19979,2022-04-23T00:00:00
NO,innlandet,78126,21080.8,2022-04-23T00:00:00
NO,agder,79289,25672.9,2022-04-23T00:00:00
NO,trøndelag,99543,21128.8,2022-04-23T00:00:00
NO,vestfold og telemark,101669,24098.9,2022-04-23T00:00:00
NO,rogaland,121090,25088.8,2022-04-23T00:00:00
NO,vestland,143051,22393,2022-04-23T00:00:00
NO,oslo,256619,36817.1,2022-04-23T00:00:00
NO,viken,382426,30535.8,2022-04-23T00:00:00
