country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,1517,631.2,2021-05-16T00:00:00
NO,troms og finnmark,1589,656.2,2021-05-16T00:00:00
NO,møre og romsdal,1912,720,2021-05-16T00:00:00
NO,agder,3649,1181.5,2021-05-16T00:00:00
NO,trøndelag,4053,860.3,2021-05-16T00:00:00
NO,innlandet,4879,1316.5,2021-05-16T00:00:00
NO,rogaland,6308,1307,2021-05-16T00:00:00
NO,vestfold og telemark,7194,1705.2,2021-05-16T00:00:00
NO,vestland,9415,1473.8,2021-05-16T00:00:00
NO,oslo,34641,4969.9,2021-05-16T00:00:00
NO,viken,40984,3272.5,2021-05-16T00:00:00
