country,nuts_3,cases,cases/100k pop.,datetime
NO,nordland,239,99.1,2020-10-21T00:00:00
NO,møre og romsdal,334,125.9,2020-10-21T00:00:00
NO,troms og finnmark,441,181.2,2020-10-21T00:00:00
NO,vestfold og telemark,532,126.8,2020-10-21T00:00:00
NO,agder,582,189.4,2020-10-21T00:00:00
NO,innlandet,772,207.9,2020-10-21T00:00:00
NO,trøndelag,794,169.4,2020-10-21T00:00:00
NO,rogaland,845,176.1,2020-10-21T00:00:00
NO,vestland,2264,355.7,2020-10-21T00:00:00
NO,viken,4498,362.4,2020-10-21T00:00:00
NO,oslo,5424,782.1,2020-10-21T00:00:00
